vendor_normalized,sum_effective_value
VMWARE,5276602.95
IDS SYSTEMS CONSULTANTS,466125.00
SI SYSTEMS,394596.00
PROJECT X PRODUCTIONS,239557.47
OPENCONCEPT CONSULTING,208985.50
SHARP ELECTRONICS,138141.75
ADWARE PROMOTION,134650.80
NEW PRINTING,114441.60
ONX ENTERPRISE SOLUTIONS,95640.31
ROGERS,92351.82
LONDON CONVENTION CENTRE,86396.55
GRAVURE CHOQUET,64033.33
SOCIETE DES CASINO DU QUEBEC RESTO CASINO HILTON OPERATING AS HILTON LAC LEAMY,63528.17
CALIAN,58896.50
HILTON LAC LEAMY,51434.70
TOSHIBA CLIENT SOLUTIONS CAN,46561.00
DELTA BEAUSEJOUR,44317.83
ST JOSEPH MEDIA,43332.68
APPTION,35086.50
TURRIS COMMUNICATIONS,34779.28
KAREN MACKAY,32688.08
HEWLETT PACKARD,28129.97
LORD ELGIN HOTEL,27351.23
TELECOM COMPUTER SERVICES,26345.95
LAMONTAGNE GERALD,25064.55
METROLAND MEDIA GROUP,24296.83
3627730 CANADA OPERATING AS FREEMAN AUDIO VISUAL,22267.97
FREEBALANCE,21630.46
POSTMEDIA NETWORK ASSIGNEE MELTWATER NEWS CANADA,20102.50
MEDIAS TRANSCONTINENTAL,19115.65
ADVANCED CHIPPEWA TECHNOLOGIES,18190.47
THE DRAFTING CLINIC CANADA,17579.69
PURELOGIC,16393.30
AQUILNI PROPERTIES PARTNERSHIP DOING BUSINESS AS CROWNE PLAZA MONCTON,15543.40
BRADDA PRINTING SERVICES,15255.00
MICROSOFT CANADA,15181.38
417 BUS LINE,14777.58
OPTIMA,14407.50
CITY OF OTTAWA,13177.49
CATHERINE AGUILLON,12250.00
ABOVE BEYOND,12220.95
ALLANTE AIRPORT TRANSPORTATION,11561.26
OTTAWA CITIZEN A DIVISION OF,11409.39
CNW GROUP,11300.00
UP HERE PUBLISHING,10395.00
NORTHERN NEWS SERVICES,9834.30
NUNATEXT,9304.32
IRON MOUNTAIN,9040.00
NOVI SYSTEMS,7992.00
VOILA QUEBEC,7530.87
CTM MEDIA GROUP,6542.57
BLACKBERRY,5735.88
