vendor_normalized,sum_effective_value
MANIFEST COMMUNICATION,14477560
AMITA,10206966.0025
COSSETTE COMMUNICATIONS,9833455.07
MICROSOFT CANADA,9807710.36499999
MANIFEST COMMUNICATIONS,9444621.36
NISHA TECHONOLOGIES,5882506.89
ACART COMMUNICATIONS,4514016.50666667
MASHA KRUPP TRANSLATION GROUP,3995269.53
ECOLE DE LANGUES LA CITE,3814318.35
CORADIX TECHNOLOGY CONSULTING,3656961.6
HEWLETT PACKARD,3604616.90600004
EXCEL HUMAN RESOURCES,3522758.475
LUMINA IT,3515678.90416667
TERAMACH TECHNOLOGIES,3356465.82
ITEX,3151607.805
BELL CANADA,3099405.51
CANADIAN CORPS OF COMMISSIONAIRES,2987399.925
RA MALATEST ASSOCIATES,2880846.15
MAXSYS STAFFING AND CONSULTING,2749644.76
N12 CONSULTING,2605729.18000002
QMR,2404477.78500001
DMTI SPATIAL,2271658.79
CBCI TELECOM,2180105.18
SHARP ELECTRONICS,2005654.53238095
CENTRE DE FORMATION LINGUISTIC CARON,2000000
SOCIETE GAMMA,2000000
LES TRADUCTIONS TESSIER,2000000
LIONBRIDGE,2000000
MASHA KRUPP,2000000
MAXSYS,1916053.45666667
NATIONAL SECURITY AGENCY NSA,1896564
CARON TRAINING CENTRE,1887988.95
DAMA CONSULTING SERVICES,1832458.75
TELUS CANADA,1784276.37
SOCIAL RESEARCH AND DEMONSTRATION,1766133.5
ADRM TECHNOLOGY CONSULTING,1644194.44666668
TIREE,1536194.71999999
PROFESSIONAL COMPUTER,1415954.09000001
SOLANA NETWORKS,1385187.875
THE HUNTER COURCHENE CONSULTING,1322286.83666667
IBISKA TELECOM,1315499
DELL COMPUTER,1274677.185
BYTOWN CATERING,1171918.07
EBSCO CANADA,1139012.69
WILLS TRANSFER,1104308.83
ALTIS HUMAN RESOURCES,1102529.05
ARTEMP PERSONNEL SERVICES,1089314.22
ASTWOOD STRATEGY GROUP,1029000
WORKDYNAMICS TECHNOLOGIES,1024569.33
ALLAN JOYNER PRODUCTIONS,1020626.49
EMCON EMANATION CONTROL,1006395.22
LANSDOWNE TECHNOLOGIES,934991.52
DELOITTE AND TOUCHE,901646.45
IPSS,898570.2
ELECTRONIC WAREFARE ASSOCIATES,887702.97
CYGNOS,884211.25
CARLO MORSELLI,880487.400000003
NRG RESEARCH GROUP,865515
ZENTRA,863661.14
CISTEL TECHNOLOGY,852380.16
CISION CANADA,844132.38
TRANSPOLAR TECHNOLOGY,811409.5
SAMSON ASSOCIATES,806885.55
ROGERS,802555.48
ESRI,788777.309999999
BANFIELD SEGUIN,786408.05666667
IBM CANADA,769908.905
IVANS CAMERA,729353.82
THE CANADIAN PRESS,721209.39
RANDSTAD,717466.81
KPMG,700210.3
DALIAN ENTERPRISES,695864.77
INTERNATIONAL SAFETY RESEARCH,660485
DOLLCO PRINTING,656427.57
CORRECTIONAL SERVICES CANADA,649834.88
EKOS RESEARCH ASSOCIATES,634460.545
GARTNER,631424.57
R A MALATEST ASSOCIATES,630000
MAPLESOFT CONSULTING,623387.73
MARKETWIRE,602499
AVI SPL CANADA,598059.44
IT NET CONSULTANTS,587187.5
MODIS CANADA,578583.179999999
CARAHSOFT TECHNOLOGY,577804.065
ASSOCIATES GROUP,577283.25
HACKETT CONSULTING,557346.5
TELECOM COMPUTER SERVICES,550880.15
6233902 CANADA,545959.5
MAXSYS STAFFING CONSULTING,537880.00000001
DARE HUMAN RESOURCES,534901.95
ASTWOOD MARKETING GROUP,525735
RICOH,519638.127666667
ACTION PERSONNEL,518546.885000001
THE AIM GROUP,514005.11
TDV GLOBAL,504832.25
XEROX,504710.110000002
ACOLE DE LANGUES CITA,501028.5
COMPLIANCE STRATEGY GROUP,493192
BLUE DROP,462284.999999999
BURA SOLUTIONS,459924.48
