vendor_normalized,sum_effective_value
VERITAAQ TECHNOLOGY HOUSE,3679939.72666663
CGI,2283385.32333333
MOODY S ANALYTICS,1433898.46
ALTIS HUMAN RESOURCES,879103.1
ASL CONSULTING,807499.666666661
TRM TECHNOLOGIES,763193.39333333
EMERION,707559.87
INTEGRA NETWORKS CORPORATION,679177.180000007
S&P GLOBAL MARKET INTELLIGENCE,678281.93
IBISKA TELECOM,664094.173333334
MICROSOFT CANADA,627811.05
RANDSTAD,585227
INROUND INNOVATIONS,459996.05000001
TELUS CANADA,434354.34
GILLILAND GOLD YOUNG,429004.5
IBM CANADA,428729.72
NISHA TECHONOLOGIES,399356.43
EXCEL HUMAN RESOURCES,398653.816666667
DELOITTE AND TOUCHE,387918.33333334
LEO-PISCES SERVICES GROUP,331411.44
SOCIETE GAMMA,302275
BDO CANADA,282450.188333334
HAY GROUP,250845.318
ASOKAN SOLUTIONS DE BUREAU,247462.385
ADVANCED BUSINESS INTERIORS,245105.34
SHARP ELECTRONICS,236255.883333331
BLOOMBERG FINANCE L P,231795.645833333
ITEX,214382.853333333
INTERNATIONAL ASSOCIATION OF INSURANCE SUPERVISORS,186902.64
NAVANTIS,172890.026666668
DONNA CONA,169875.43
HR ASSOCIATES,168101.92
TERAMACH TECHNOLOGIES,155306.125
FAST FORWARD FRENCH,154337
CISTEL TECHNOLOGY,152298.57
CANADIAN CORPS OF COMMISSIONAIRES,150416.65
STONEWORKS TECHNOLOGIES,149591.535
DELL COMPUTER CORPORATION,147636.82333333
DEMENAGEMENT SLBL MOVING,145140.27
ALLIANCE FRANCAISE DE TORONTO,140820
GARTNER,140527.74
RAYMOND CHABOT GRANT THORNTON,135600
CORETRACKS,125430
PPI CONSULTING,121356.576
JUNO RISK SOLUTIONS,114279.485
VMWARE,112936.72
PROSCI CANADA ULC,110813.35
TURTLE ISLAND STAFFING,109882.595
ODGERS BERNDTSON CANADA,100261.7
AMEX BANK OF CANADA,100000.01
DATAVAIL CANADA CORPORATION,97250.64
ROBERT O SANDERSON,93360
VIZOR,91666.666666666
ST ANDREWS CLUB & CONFERENCE,91115.29
FAIRMONT CHATEAU LAURIER,90925.5
KIFINTI SOLUTIONS,90583.625
LOMEKA,86445
FLEMING COMMUNICATIONS,81629.948333333
BANK FOR INTERNATIONAL SETTLEMENTS,80598
WINKLEVOSS TECHNOLOGY,80251.415
EVENTS AT ONE KING WEST,74962.83
SAS INSTITUTE,72900.82
CONEXSYS,71810.53
SHEPELL FGI,71578.2749999993
DAVID ANTHONY PEACH,64653.86
ACNIELSEN COMPANY OF CANADA,62545.5
VANTAGE VENUES,61326.01
BUREAU VAN DIJK,61161
JAMIE CAMERON,57070.5
LEE HECHT HARRISON KNIGHTSBRIDGE,56665.633333333
KORN FERRY HAY GROUP,56500
ERGO-INDUSTRIAL SEATING SYSTEMS,54348.35
LEE HECHT HARRISON,52853.666666666
ARCHIBALD C KIRKWOOD,52103.24
STEPHEN ANDREW WOOD,51357.13
PSAV,50858.37
DAURAY ENTERPRISES ICR,50776.55
SHERATON CENTER TORONTO,49040.85
ACHIEVEGLOBAL CANADA,47812.57
PRICEWATERHOUSE COOPERS,47036.26
CORPORATE EXPRESS,46790.31
IRON MOUNTAIN CANADA CORPORATION,46330
THE CORPORATE EXECUTIVE BOARD,45312.445
FITCH 7CITY LEARNING,44919.56
BISCARDI CONSULTING,44886.93
INJURY PREVENTION PLUS,44748
MCLUHAN AND DAVIES,41367.04
PHOENIX STRATEGIC PERSPECTIVES,41034.82
BURKE CADER MEDIA STRATEGIES,40893.03
MICHEL HYLANDS,40718.51
ENVIRONICS RESEARCH GROUP,40068.95
ECOLE DE LANGUES ABCE,39812.5
URBAN MANAGEMENT GROUP,38609.84
UP UNTIL NOW,36866.25
POLLARA,33900
AV-CANADA,32425.35
HARRY NIGALIS,31685
GENESIS INTEGRATION,30075.54
PETER MCGINNIS,29896.1000000001
LONGO AND ASSOCIATES,29775.5
