vendor_normalized,sum_effective_value
MICHEL HAMEL CONSULTING,172880.33
SYLVAIN BERTHIAUME,153107.33
MATTHEW T MCGARVEY BARRISTER AND SOLICITOR,81063.38
STENOTRAN SERVICES,56500.00
MIKE DUNN ENTERPRISES,42163.13
CLAUDE BERGERON,38058.40
DAVE JEGGO,31414.00
DONNA CONA,27120.00
PANXSOLUTIONS,24995.60
LUMINA IT,24973.00
IMATICS,24789.38
QMR,24577.50
KABOOM COMMUNICATION DESIGN,24529.77
BBG MANAGEMENT,23772.38
CONWAY BAXTER WILSON,22035.00
DAVID LARIN,16950.00
PETER CICALO,12972.40
BRITESKY TECHNOLOGIES,10888.20
XEROX,9816.01
KNOWLEDGE CIRCLE LEARNING SERVICES,5448.00
KC TRI STAR,5424.00
