vendor_normalized,sum_effective_value
COSSETTE COMMUNICATIONS,83427812.19
OGILVY MONTREAL,4916841.9
SOCIETE GAMMA,4728431.62000003
ACART COMMUNICATIONS,3973833.3333334
SAS INSTITUTE,3768028.39111111
MICROSOFT CANADA,3475356.975
JP MORGAN SECURITIES CANADA,3000000
CISTEL TECHNOLOGY,2848718.49
BELL CANADA,2746707.43
NORTHERN MICRO,2380415.755
KONICA MINOLTA BUSINESS SOLUTIONS,2193518.22621429
LOWE MARTIN COMPANY,2143124.75
CANADIAN CORPS OF COMMISSIONAIRES,2066816.94
PRINTERS PLUS,1946235.16
INSIGHT SOFTWARE CANADA,1934204
KBSP CANADA,1808000
SOCIACTAC GAMMA,1639463.12
THE MASHA KRUPP TRANSLATION GROUP,1371729.405
IPSOS REID,1345403.4
EXCEL HUMAN RESOURCES,1200421.56
NRG RESEARCH GROUP,1131760.62
CONFERENCE BOARD OF CANADA,1118040.29
ADVANCED CHIPPEWA TECHNOLOGIES,1117284.38
HYPERTEC,1094353.53
ITEX,1079667.92
THOMSON REUTERS,1067874.8375
MAPLESOFT CONSULTING,1043023.12666667
DYNAMEX CANADA,955742.14
ACOLE DE LANGUES DE LESTRIE,943829.21
ANDREW KALOTAY,916029.45
COMPUPHILE SYSTEMS,870409.273333339
KPMG,828423.7
ACOLE DES LANGUES DE LESTRIE,826911.5625
ARTEMP PERSONNEL SERVICES,822245.05
ROBERT HALF CDA,800650.21
MISHKUMI TECHNOLOGIES,788116.76
BPM GOVERNMENT IM IT CONSULTING,785847.2
DELL COMPUTER,745293.3
MCKINSEY COMPANY CANADA,743000
TERAMACH TECHNOLOGIES,735671.45
GLOBAL UPHOLSTERY,729904.43
MDG COMPUTERS CANADA,702243.18
MEDIA Q,683105
HARRIS DECIMA,651036.38
ANDREW KALOTAY ASSOCIATES,632501.279999998
ST JOSEPH COMMUNICATIONS,621468.97
HAVER ANALYTICS,608326.929999999
TELFER SCHOOL OF MANAGEMENT,606245
NISHA TECHONOLOGIES,566022.83
ACTION PERSONNEL,537838.67
ITNET,532230
THE CANADIAN PRESS,531284.099999999
KNOWLEDGE CIRCLE,530347.29
REUTERS CANADA,505798.98
BLOOMBERG FINANCE,500526.065
LANNICK CONTRACT SOLUTIONS,492804.5
DELOITTE AND TOUCHE,491645.02
HEWSON BRIDGE SMITH HBS,488927.25
LUMINA IT,477277.09
XEROX,469928.402
THE TRICO GROUP,457423.96
EBSCO CANADA,457190.779999999
NITRO MICROSYSTEMS,448028.58
THE HALIFAX GROUP,448012.01
ADRM TECHNOLOGY CONSULTING,423691.24
BDO CANADA,416687.5
DARE HUMAN RESOURCES,405824.02
GARTNER,402689.5
INSA,399522.95
ACART,387139.1
IBISKA TELECOM,379457.34
DLS TECHNOLOGY,375616.98
ALTIS HUMAN RESOURCES,371324.76
RED SASH,369723.2
MCCARTHY TETRAULT,361500
SI SYSTEMS,360799.36666667
PROCOM CONSULTANTS,356797.5
INTEGRA NETWORKS,353427.24
AGILYSYS CANADA,330897.01
CAPRA INTERNATIONAL,325170.66
IBM CANADA,324028.51
IT NET CONSULTANTS,322705.89
APS ANTIAN PROFESSIONAL SERVICES,320863.16
PRECISION ERP,315411.25
TRM TECHNOLOGIES,310104.75
L3 COMMUNICATIONS,306236.1
QMR,305805.34
WILSON YOUNG ASSOCIATES,298357.5
GRAND TOY,289097.85
ECOLE DE LANGUES DE LESTRIE,288286.875
BRITTONS,286550.870000001
WESTERN OPINION RESEARCH,282642.24
HARRINGTON STAFFING SERVICES,277503.82
ROGERS,273541.51
RAYMOND CHABOT GRANT THORNTON,271770.51
ERNST YOUNG,267239.8
SYSTEMATIX SOLUTIONS,260416.29
ENVIRONICS RESEARCH GROUP,258042.275
JPMORGAN CHASE BANK,249750
GRAYBRIDGE INTERNATIONAL CONSULTING,248562.996666669
