vendor_normalized,sum_effective_value
NERA ECONOMIC CONSULTING,599997.83
DENIS BELANGER,472586.40
IQVIA,290261.41
STENOTRAN SERVICES,237300.00
IMS HEALTH CANADA,214447.45
RICHARD SCHWINDT,200041.00
IMS AG,183805.22
IQVIA AG,177780.80
OTTAWA VALLEY REGIONAL DRUG INFORMATION SERVICE,172791.67
IMS WORLD,62733.47
LASER ANALYTICA,24860.00
QUANTUM MANAGEMENT SERVICES,24809.72
ECOLE DE LANGUES ABCE,21035.00
GLEN WHYTE CONSULTING,17602.85
STAPLES BUSINESS ADVANTAGE,14571.35
ACCURATE DESIGN COMMUNICATION,13565.65
EXEL HUMAN RESOURCES,11735.16
SAS INSTITUTE,11369.50
INTEGRA NETWORK,10233.28
EXCEL HUMAN RESOURCES,9868.21
PETER JAMIESON,8750.00
ADIL VIRANI,8750.00
MICHAEL RIEDER,8750.00
FRED AOKI,8750.00
JACQUES LELORIER,8400.00
MUHAMMAD MUMDANI,8400.00
FACTIVA,5820.63
LA SOCIETE VIDAL,5471.63
