vendor_normalized,sum_effective_value
D H PARTNERSHIP,2600059418.3825
RESOLVE,419308987.56
QUANTUM MANAGEMENT SERVICES,410610711.05
MICROSOFT CANADA,279224200.14
BELL CANADA,188661433.670107
UNISYS CANADA,132954339.231333
COSSETTE COMMUNICATIONS,110092835.285
TELUS CANADA,105905999.445
SI SYSTEMS,90716540.5783331
ORACLE CANADA,79712911.8136141
IBM CANADA,68859596.625
CANADIAN CORPS OF COMMISSIONAIRES,55528216.0616668
ACCENTURE,52071921.0600001
PRICEWATERHOUSE COOPERS,47092475.2758333
ST JOSEPH PRINT GROUP,40101633.36
HYPERTEC,38820494.54
CACHE COMPUTER CONSULTING,37806874.4144444
ROGERS,36377600.355
ERNST YOUNG,34626510.8775
NISHA TECHONOLOGIES,34179197.88
SYSTEMATIX SOLUTIONS,31365364.8199999
PROCOM CONSULTANTS,26782946.25
NCO FINANCIAL SERVICES,23929586.752
SOCIAL RESEARCH DEMONSTRATION,22922920.6999999
XEROX,22820170.5207143
TOTAL CREDIT RECOVERY,22225826.75
NORTHERN MICRO,21893585.5
SOFTCHOICE,17753072.88
LANGUAGE RESEARCH DEVELOPMENT,17316576.92
SAS INSTITUTE,16757611.5633333
MAPLESOFT CONSULTING,16585537.31
SIMPLEX INDUSTRIES,16176967.435
GILMORE PRINTING SERVICES,15552288.04
ADOBE,15364558.1777778
DELL COMPUTER,15163728.8033331
NORDON COLLECTION NETWORK,15082882.295
TNS CANADIAN FACTS,14998963.93
VERITAAQ TECHNOLOGY HOUSE,14961190.3458333
DONNA CONA,14429838.5083334
FINANCIAL DEBT RECOVERY,14312113.56
KPMG,13387117.22
OCE CANADA,12043685.4099999
DELOITTE AND TOUCHE,11977229.055
BRENT MOORE ASSOCIATES,11680181.66
COLLECTCORP,11649514.537
SAP,11551923.9533333
PITNEY BOWES,11412052.7084286
BELL HOWELL,11106280.58
POSTAGE BY PHONE,11037576.2
ACART COMMUNICATIONS,10947825.5
MODIS CANADA,10454508.29
TEK SYSTEMS CANADA,10011916.98
ADVANCED BUSINESS INTERIORS,9989553.17500004
AJILON,9941711.87999998
ALLIED INTERNATIONAL CREDIT,9393848.484
BRAINHUNTER,9369974.93
MICRO FOCUS CANADA,9296343.84499999
SIERRA SYSTEMS GROUP,8696700.61
CALIAN,8609592.885
TEKNION,8358621.84999999
CHASE OFFICE INTERIORS,8136854.58
RELIABLE DATA ENTRY,8061347.52549999
TEK SYSTEMS,7897647.5000001
SECURE TECHNOLOGIES INTERNATIONAL,7533095.78
FUJITSU,7469712.945
ADVANCED CHIPPEWA TECHNOLOGIES,7435384.52500002
PRICE WATERHOUSE,7347048.5714284
ALLIANCE ONE,6998046.69999999
CANADA POST,6987369.22
BRC BUSINESS ENTERPRISES,6946186.39
CORADIX TECHNOLOGY CONSULTING,6890193.97333334
SABA SOFTWARE,6888262.12500005
CSI CONSULTING FOXWISE,6821910.25
GARTNER,6671785.27333333
LIONBRIDGE,6513664.16833335
TRADUCTIONS TESSIER,6496941.52
THE VCAN GROUP,6439607.67333334
DECISIVE TECHNOLOGIES,6338285.99000002
SHARP ELECTRONICS,6257449.05316667
DALIAN ENTERPRISES,6226289.80999999
HOOTSUITE MEDIA,6196712.91000002
IT NET CONSULTANTS,5888021.32333333
CANON,5837026.68385716
HEWLETT PACKARD,5660966.66499999
SENSIBLE SECURITY SOLUTIONS SSS,5506201.46060607
R E GILMORE INVESTMENTS,5145792.40333333
EXCEL HUMAN RESOURCES,5108078.90000001
ADRM TECHNOLOGY CONSULTING,5034434.68833335
GLOBAL UPHOLSTERY,5010719.555
INNOVISION CONSULTING,4892056.75
CA CANADA COMPANY,4885549.89
NAVIGANT CONSULTING,4799536.0714284
RANDSTAD,4621715.28666667
VALUE TEAM APS,4541547.48
ENTERPRISE SYSTEMS AND SOLUTIONS,4365878.38999999
IBISKA TELECOM,4304282.555
METAFLOW,4241940.77999997
MDG COMPUTERS CANADA,4231401.16
THE CORPORATE RESEARCH GROUP,4062765.04
CORPORATE EXECUTIVE BOARD,4060148.39166667
