vendor_normalized,sum_effective_value
ALCEA TECHNOLOGIES,423428.96
MODIS CANADA,283323.216
ALEXA TRANSLATIONS,224922.946666668
BELL CANADA,92208
LAW OFFICE PEARL ELIADIS,56556.5
IT SERVICES CANADA,54240
ORACLE CANADA,44661.41
DONNA CONA,36951
NISHA TECHONOLOGIES,36765.91
GWEN BRODSKY BARRISTER SOLICITOR,33900
TOSHIBA OF CANADA,33718.4
EXCEL HUMAN RESOURCES,24731.41
ANTHONY MACAULEY ASSOCIATES,24679.2
BV02,24577.5
GLOBAL UPHOLSTERY,23850.06
THE HUMPHREY GROUP,23470
COMPUCOM CANADA,22027.01
CEDROM SNI,18146.94
ALPHINAT,16904.8
BRITISH COLUMBIA LAW INSTITUTE,15750
HANNAH MOFFAT KELLY,15000
SHAW CENTRE,12712.5
LEVERAGE TECHNOLOGY RESOURCES,12394.69
ASOKAN BUSINESS INTERIORS,12045.8
THE CANADIAN PRESS,12028.85
ADVANCED CHIPPEWA TECHNOLOGIES,11618.1
TAG HR THE ASSOCIATES GROUP,5634.9333333333
