vendor_normalized,sum_effective_value
APPLIED ELECTONICS,407177.2
COULEUR POINT TV,360150
CREOS EXPERTS CONSEILS,357946
CENTRE FRANCO ONTARIEN DE RESSOURCES PEDAGOGIQUES,280000
ROHDE & SCHWARZ CANADA,275457.67
JAM3,273195
TRANSQUEBEC AUDIOVISUEL,218260
SOFTCHOICE,181019.995
HELIX MANAGEMENT CONSULTING SERVICES,153000
STUDIO CASA RARA,135600
ROHDE&SCHWARZ CANADA,118089
CSI LEASING CANADA,116556.44
CLEAR K,104000
OPUS 59 FILMS,102868.14
BELL CANADA,100640
ECHAFAUDS PLUS LAVAL,95387.8
ENSEMBLE INTERACTIF,92200
AKUFEN ATELIER CREATIF,77025
IMAGES ET TECHNOLOGIE,68570
RICHTER S E N C R L,64000
LAVERY DE BILLY,63912.77
MONIQUE LEBLANC CREATIONS,63270
TRINIMBUS TECHNOLOGIES,62376.65
SOLOTECH,61777.72
DIGITAL FILM TECHNOLOGY,61381.06
CANDELA COLLECTIVE,54094.99
SOFTSIM TECHNOLOGIES,50400
LES EVADES,49650
MINDSTREAM TC & PCB,49500
BUNKER 14 PRODUCTIONS,49500
KRAKOWIAK ALEKSANDRA,47920
SPB PSYCHOLOGIE ORGANISATIONNELLE,47657.333333333
BUSINESS INTERIORS ONTARIO,44381.1
GO MULTI MEDIA,43601.25
LEA CARLSON DESIGNS,42400
CEV,41803.5
NORTH PLAINS SYSTEMS CORP,40000
ACCESS INFORMATION PROTECTED,38074.66
ASG TECHNOLOGIES GROUP,37915.58
TATTERSALL SOUND & PICTURE,37900
EXITCERTIFIED,36691.06
ECLIPSYS SOLUTIONS,36586.3
ARC MOTION CONTROL,36582.98
ALL SEEING EYE,34893.69
MARKETING LEGER,30884.95
LALIBERTE LEBLANC RECHERCHE DE CADRES,30600
RISQ,29788
FACEBOOK,29348.92
ERDI-EDUCATION RESEARCH DEVELOPMENT AND INNOVATION CORPORATION,29000
CMDN PRODUCTIONS,28120
COSSETTE COMMUNICATIONS,27512.5
ANDRAOS & MONGIAT,27500
INTERGALACTIC AGENCY,27440
NVENTIVE,26500
CANADIAN RADIO-TELEVISION AND TELECOMMUNICATIONS COMMISSION,25697.8
ARRI CANADA,25639
SONY ELECTRONICS,24691.72
ZAD COMMUNICATIONS,24500
PROFESSIONNELS EN REGLEMENT DES DIFFERENDS S A,24000
LES PRODUCTIONS ROMEO ET FILS,22885
PRODUCTIONS KOONACKY,22200
RESONANCE TJL,20580
STUDIO PLIAB,20000
LA TETE CHERCHEUSE-DEPISTEU,19484
SUPER POLYGON GAMES & INTERACTIVE,19012.5
ABI/AMEUBLEMENT BUREAU INTERIEUR,18570
REFLEKTOR DIGITAL,18500
SOUND CHICK SFX,18080
VERTIV CANADA ULC,17385
SHARP S AUDIO-VISUAL,16753.43
IBM CANADA,16734.485
RANDSTAD,16691.35
SCREENOCEAN,16161.29
GROUPE LAFRANCE COMMUNICATIONS,16000
CONTENT AWARE SOLUTIONS,15839.95
ROY & TURNER COMMUNICATIONS,15500
TURBULENT MEDIA,15366
THE FOUNDRY,15349.055
ZEALOT NEW YORK,15037.5
ROY NICOLAS S,15000
JUO HSIN CHEN LAURA,15000
DAINTY PRODUCTIONS,15000
NOUS SOMMES FOLKLORE,15000
DONNEELICIEUSE,14750
GLOBAL MECHANIC MEDIA,14625
92773100 QUEBEC,14250
IRON MOUNTAIN CANADA OPERATIONS ULC,14110.25
NIELSEN MEDIA RESEARCH,14091.3
LES PRODUCTIONS MUSIQUE TACITE,13641.75
THE FARMHOUSE CREATIVE LABS,13500
BOND BUILDING,13300
THE GOOD CHANGE PICTURE COMPANY,12675.37
MPRM COMMUNICATIONS,12588.4
RETHINK COMMUNICATIONS,12500
IMAGINENATIVE,12500
IMAGINCOLOR,12398.4
IMPRIMERIE L EMPREINTE CLASSIQUE & NUMERIQUE,12353
INSO MONTREAL,12342.1
PROFESSIONNELS EN REGLEMENT DES DIFFEREN,12250
TWISTED PAIR PRODUCTIONS,12000
