vendor_normalized,sum_effective_value
EXCEL HUMAN RESOURCES,168908.08
SHARED SERVICES CANADA,105854.26
ZYCOM,103848.22
MISHKUMI TECHNOLOGIES,99748.58
TEKNION,73965.44
CATALYST RESEARCH AND COMMUNICATIONS,72548.75
FOREST COMMUNICATIONS,65242.88
SOCIETE GAMMA,50000.005
UNIVERSITY OF WESTERN ONTARIO,47602.84
LEGER MARKETING,43567.15
SOFTCHOICE,42548.1816666667
CFL ENTERPRISES,40680
TOYOTA CANADA,38668.81
RAYMOND CHABOT GRANT THORNTON CONSULTING,33815.25
LLAMA COMMUNICATIONS,28449.25
COPEM,28024
ADVANCED BUSINESS INTERIORS,25975.42
EVALUATION PERSONNEL SELECTION INTERNATIONAL,25777.395
JANIQUE SIMARD OUELLETTE,24238.5
JA MEDIA SERVICES,23165
MARTHA KING,22600
RAYMOND CHABOT THORNTON CONSULTING,22543.5
ANTHONY MACAULEY ASSOCIATES CONSULTANTS DEVELOPERS,21359.97
MANIFEST COMMUNICATIONS,20905
OTUS STRATEGIC FINANCIAL BUSINESS PLANNING GROUP,19845
PETER CAMERON AND ASSOCIATES,16950
HYPERACTIVE PRODUCTIONS,16429.07
OLIVUS,14125
KORN FERRY HAY GROUP,12995
ERIE CONSULTING GROUP,12500.06
JEANNOT TRUDEL,12500
LORD ELGIN HOTEL,11913.75
CNW GROUP,11300
FREEMAN AUDIO VISUAL,10213.94
KABOOM COMMUNICATION DESIGN,10000
TRADUCTIONS ZENITH TRANSLATIONS,10000
DR SCOTT UZELMAN,10000
MICHAEL DAVID LANGILL,9987.5
CHRISTINE CROSSMAN CONSULTING,9746.25
COLLECTIVE STAFFING AND WRITING SERVICES,9492
XEROX,8605.755
MEDIA Q,8475
DAVIDSON VIOLETTE ASSOCIATES NEWFOUND RECRUITING IN JOINT VENTURE,5717.13
SURVEYMONKEY EUROPE C O 916710,5421.175
CARON TRAINING CENTRE,5232.5
9101 4472 QUEBEC LES TRADUCTIONS ST FRANCOIS,5000
CKG TRAINING AND CONSULTING,5000
NATHALIE LECLAIRE,5000
DOMINIQUE LEMIEUX POINT DORGUE COACHING,33
