vendor_normalized,sum_effective_value
HEWLETT PACKARD,9361647
CORPORATE RESEARCH GROUP,4930026
SAS INSTITUTE,4220253
PLEIAD CANADA,3212871
BELL CANADA,2852734
EMERION,2485628
INTEGRA NETWORKS,2452012
ORACLE CANADA,1880236.00000001
SIRSIDYNIX,1728402
BCE ELIX,1667752
DALIAN ENTERPRISES,1521858
MODIS CANADA,1499385
WORDTASK INFORMATION STRATEGIES,1474926
LNW CONSULTING,1465851
SYSTEMSCOPE,1446814.33333334
ZYCOM,1303029
CGI,1092052
CDW CANADA,1046913
XEROX,916510
MAPLESOFT CONSULTING,890760.2
MINDWIRE SYSTEMS,847413
EXCEL HUMAN RESOURCES,834123
DELTA PRINTING,813600
WE ROBERT LITTLE ASSOCIATES,800000
SYSTEMATIX SOLUTIONS,775440
R E GILMORE INVESTMENTS,762114
RIOUX REGIS,736942
SHI CANADA,709580
DONNA CONA,685908
LORICK,623605
1239376 ONTARIO,593626.66666668
TEKNION,592944
GARTNER,580769.665
IT NET CONSULTANTS,561744
CORADIX TECHNOLOGY CONSULTING,537561
VERITAAQ TECHNOLOGY HOUSE,515180
DEMENAGEMENT SLBL,470506.56
CBCI TELECOM,464303
FREEBALANCE,435463.125
NORTHERN MICRO,383642
EBSCO CANADA,370752.47
ALTIS HR OTTAWAINC EXCELHR JOINT VENTURE,365238.72
KPMG,352064.9
MTS ALLSTREAM,347170
IBM CANADA,341113.305
ORBIS RISK CONSULTING,322032
ITEX,319831
DELOITTE AND TOUCHE,314343.2
TERAMACH TECHNOLOGIES,308374
MDG CORPORATE SALES,300722
SHARP ELECTRONICS,277398
NOVELL CANADA,265538
BRAINHUNTER,261469
MELVERN BENJAMIN SKINNER,260799
KNOWLEDGE CIRCLE,245729
CONEXSYS,241696
SKINNER MELVERN BENJAMIN,239999
TELUS CANADA,234905
BMC SOFTWARE CANADA,233497
ADRM TECHNOLOGY CONSULTING,233040.16
ADECCO,229707
RED SASH,226121
ADAM CONSULTANTS,202582
JAVANPOUR NETWORKS BROADCASTING,197400
XWAVE,197260
II NET OTTAWA,189000
N12 CONSULTING,185621.333333334
AMTEK ENGINEERING,185288
1230117 ONTARIO,181030
MICROSOFT CANADA,176468.625
NON LINEAR CREATIONS,173374
IPSS,172625
ALTIS HUMAN RESOURCES,167448
DASCO DATA PRODUCTS,164262
RETIREMENT PLANNING INSTITUTE,163818.093333333
SI SYSTEMS,158670.02
NICOLE DOZOIS JOHNSTON,157410
JAVAPOUR NETWORKS B C IN VENTURE WITH CYRUS EHCO,155347
CALIAN,155232
SAMSON ET ASSOCIES,154074
PERFORMANCE ASSESSMENT NETWORK,151000
PRICEWATERHOUSE COOPERS,150904.47
WALKER SELENA,144820
ECOLE DE LANGUES LA CITE,144669
RHDF 2000,144060
CENTRE FOR PUBLIC MANAGEMENT,143649
PAULINE BLAIS AND CONSULTING,142756
COMPUGEN,141605
QUINTET CONSULTING,140891
CSI FOXWISE DWP INNOVISION CONSULT JVENTUR,140729.4
ALGONQUIN COLLEGE,139158
TODD SHARON,136565.65
HYNES COLLEEN,132220
PHAIR TERRY,132220
THINKPOINT,131586.43
RE GILMORE INVESTMENT,129950
EXECUTIVE SPIN,128148.78
EKOS,128042
JONES SYLVIE,126020
THE HERJAVEC GROUP,125761
