vendor_normalized,sum_effective_value
SAMSON & ASSOCIES CPA CONSULTATIONS,278958.3825
SAMSON & ASSOCIES CPA/CONSULTING,260868.72
NISHA TECHONOLOGIES,165934.1575
SRA STAFFING SOLUTIONS,107689
ADGA GROUP,71744.4
GENESIS INTEGRATION,61932.79
SAMSON & ASSOCIATES CPA/CONSULTING,51853.73
TURTLE ISLAND STAFFING,51235.485
FREEMAN AUDIO VISUAL,50878.36
CONVERSART CONSULTING,48520.8
BOYDEN OTTAWA,47454.435
LISE D LABELLE,46909.8
MICROSOFT CANADA,44909.295
WORKDYNAMICS TECHNOLOGIES,44596.825
LEAN AGILITY,44223.375
RAYMOND CHABOT GRANT THORNTON,43194.25
QMR,39260.815
INSA CORP,37595.965
SAMSON & ASSOCIES CPA/CONSULTATION,34018.2316666667
GARTNER,30645.6
AVI SPL CANADA,30580.257
OPENTEXT,27854.5
RICOH,27245.995
AVI-SPL CANADA,26929.13
PROCOM CONSULTANTS,24860
HUGUES THEORET,24855
STEPHAN MONETTE PES,24800
CTC TRAINCANADA,24662.14
BMB CONSULTING SERVICES,24408
376455 CANADA OPERATING AS SOUND VENTURE PRODUCTIONS,24362.8
MAXSYS STAFFING & CONSULTING,23770.505
ALTIS HUMAN RESOURCES,23336.25
MCCABE PROMOTIONAL ADVERTISING,23139.87
BROOKFIELD ASSET MANAGEMENT,21413.71
VURTUR COMMUNICATIONS GROUP,20695.5
MICHEL BASTARACHE SOCIETE PROFESSIONNELLE,20695.49
THE TRI-CO GROUP,20385.07
MICHEL ROBICHAUD,18970.88
ST JOSEPH PRINT GROUP ST JOSEPH COMMUNICATIONS,16133.29
FORD MOTOR COMPAMY,16042.425
LES CONSULTATIONS JULAUX CONSULTANTS,12420
POSSIBLE IMPOSSIBLE ETC LTEE,12417.3
PRA,12363.75
NEWS CANADA,12354.666666667
INGRIDE ROY,12072.375
AUSPICE SAFETY,11680.31
CANADIAN PARENTS FOR FRENCH,10875
UNIVERSITE D OTTAWA,10347.75
CENTRE DE LANGUES INTERNATIONALES CHARPENTIER CLIC,10115
MARY FRANCOLI PHD,10000
IAN ROSS,5250
