vendor_normalized,sum_effective_value
CANADIAN CORPS OF COMMISSIONAIRES,5073708.4
PARTNERS IN CREDIT,5042629.04
JONES & CO,4766332.81999998
MURCHISON THOMSON & CLARKE LLP,4077265.77333336
J M LEDRESSAY & ASSOCIATES,2894493.82666664
PETER WENGLOWSKI PROFESSIONAL,2009913.25
IRON MOUNTAIN,1983750
JONES & COMPANY,1936918.38666668
MAKWA RESOURCING,1577232.335
EXCEL HUMAN RESOURCES,1549356.05
RICOH,1490304.74738095
IKON DOCUMENT SERVICES T8009,1482379
CETTEC DIGITAL IMAGING,1399458.68333333
XEROX,1391531.76238095
BROTHERS & ASSOCIATES LAW OFFICES,1288141.76
HYPERTEC,1205385.66
LEXISNEXIS CANADA,1192284.65666667
BROTHERS & BURDEN,1149612.34
ALTIS HUMAN RESOURCES,1119377.895
PUSHOR MITCHELL LLP,1081349.06999999
TEKNION,1037051.97
SOFTCHOICE,984918.27
CARSWELL,870573.44
JOHN DICKSON PROFESSIONAL CORP,847473.55
PETER WENGLOWSKI PROF CORP,730560.425
JOKINEN LAW PROFESSIONAL,708735.38666668
RONALD J POIRIER PROFESSIONAL,692708.418
MILLS LAW,651188.986666664
KELLY GREENWAY BRUCE,620450.24
JOSEPH CHAPMAN,618848.32
KAUN LAW CORPORATION,611077.10666668
ASOKAN BUSINESS INTERIORS,599812.14
EVANS SWEENY BORDIN LLP,548269.04999999
FROST TREHEARNE,544810.26
STEWART MCKELVEY,543649.2
WILLOWS WELLSCH ORR & BRUNDIGE LLP,499436.64
CANADA LAW BOOK,483701.2
CORPORATE RESEARCH GROUP,469934.25
IRON MOUNTAIN CANADA CORPORATION,459684.269999999
THOMSON CARSWELL,432593.39
ANTONIANI LAW PROFESSIONAL CORP,430625.266666665
HURLEY & WILLIAMS LLP,421896.95
SHRED-IT,411766.46
NORTHERN MICRO,403441.57
CYBERBAHN,399826.009999999
RIOPELLE GROUP PROFESSIONAL,388430.055
CAROL SHIRTLIFF-HINDS,385537.815
REQUEST OFFICE SERVICES,373403.76
NICHOLAS ALEXANDER,371895.88
THOMPSON LEROSE & BROWN,364327.868333334
ARTEMP PERSONNEL,350180.79
MARK MILLER,344864.544166657
CBCI TELECOM,330796.35
AVIK KUMAR GHOSH,321131.290000002
GILLESPIE RENKEMA BARNETT BROADWAY,321012.74000001
PRINTERS PLUS,310804.219999997
CANON,298361.996
KEVIN J SHORT PROFESSIONAL CORPORATION,295871.650000002
LAW OFFICES OF MARK KLASSEN,283769.120000004
CANADA LAW BOOK DIVISION,274189.98
SCOTT GRAHAM PROFESSIONAL CORP,272408.25
HAYS SPECIALIST RECRUITMENT,268380
CAIN LAMARRE CASGRAIN WELLS ST-GEORGE DE BEAUCE,260746.82
MACLEOD HOSACK NUNN PEREIRA KINKEL,260553.56
ALLAN FRANCIS PRINGLE LLP,257739.253333332
RAYMOND LINCOURT AND ASSOCIATES,251621.37
KONICA MINOLTA BUSINESS SOLUTIONS,251179.08
DAMIEN R FROST,246765.635000001
AJILON,246183
GPRINT & SIGNS,245183.47
ARNOT HEFFERNAN SLOBODIAN,245013.6
GLOBAL UPHOLSTERY CO,240938.23
GILLESPIE & COMPANY,238146.64
LIKE 10,238141.965
TIMOTHY S MCCANN,233798.770000002
MODIS CANADA,231198
ADVANCED BUSINESS INTERIORS,228292.19
WALLACE KLEIN PARTNERS IN LAW LLP,226364.904
NISHA TECHONOLOGIES,217880.2
LESLIE ANNE DOHERTY,213181.9
HENRI A LAF0RTUNE,213121.47
REBECCA B SMYTH LAW CORPORATION,210226.513333332
NIXON O BRIEN,209234.626666664
LAW OFFICE OF JOHNATHON BURKE,205219.9
STEELCASE CANADA,199951.42
ACS EXPRESS,197721.475
LAW OFFICE OF DAVID A HOLMES,196023.700000002
DONALD J FRASER BARRISTER & SOLICITOR,195189.55
CYR & MINVILLE,195029.4
J BRUCE MACNAUGHTON LAW OFFICE,194478.341666665
J R HUBER PROFESSIONAL CORP,190518.700000002
JULIEN & CORMIER PROFESSIONAL CORP,188790.98875
COHEN & COHEN FULL-LINE INTERIORS,187509.41
SAULNIER ROBILLARD LORTIE,183960
DOCUMENTS MAJEMTA,180179
KATE HART,179024.9025
CLINE BACKUS NIGHTINGALE MCARTHUR LLP,178641.4
DARE HR,178077.62
QUON FERGUSON LEGAL P C,177691.150000002
SHIRTLIFF-HINDS PROFESSIONAL CORP,177276.54
