vendor_normalized,sum_effective_value
DONNA CONA,64091831.51
ADGA GROUP,14291987.61
BRONSON CONSULTING GROUP,14147062.87
TPG TECHNOLOGY CONSULTANTS,11254377.02
KPMG,10483511.76
DALIAN ENTERPRISES,9134534.73
IT NET CONSULTANTS,8665008.04
CANADIAN DEVELOPMENT CONSULTANTS,7694008.10
SUSAN E ROSS LAW,7171300.71
ORACLE CANADA,7090557.74
IBM CANADA,6053866.84
NORTHERN MICRO,5498039.43
WOODARD MILTON,5447463.36
ZUCK CATHERINE,5337999.36
DANIEL SHAPIRO LEGAL PROFESSIONAL,5030476.19
BENNETT DAVID,5012692.71
NEW PAGE ADR,4984781.71
STRATOS,4652612.92
PACIFIC GEOTECH SYSTEMS,4420337.83
PUBLIC HISTORY,4407333.86
DELOITTE AND TOUCHE,3991276.60
WAMPUM RECORDS,3822156.59
JOAN HOLMES ASSOC,3744102.18
SRK CONSULTING ENGINEERS SCIEN,3658364.76
CORADIX TECHNOLOGY CONSULTING,3581196.45
ORR JOHN M,3427322.97
BEAUCHESNE NORMAND,3323187.81
SI SYSTEMS,3281781.83
ADRM TECHNOLOGY CONSULTING,3178543.12
LISA D WEBER PROFESSIONAL LAW,3113476.00
REILLY PAMELA,3112836.21
HAROLD ROBINSON CONSULTING,3112836.21
MCDOUGALL GAULEY,3112836.21
SNOWSHOE KAREN L,3112836.21
DIRK SILVERSIDES,3112836.21
RASMUSSEN RASMUSSEN CHAROWSKY,3112836.21
GAVIN WOOD LAW,3112836.21
YOUNG LENNARD,3112836.21
BALL KEVIN,3112836.21
BELLOC PINDER LESLIE,3112836.21
HILLSON JOHN D JACK,3112836.21
THE VCAN GROUP,3007629.00
CANADIAN CORPS OF COMMISSIONAIRES,2941798.55
THG THE HISTORY GROUP,2906885.34
HICKS MORLEY HAMILTON STEWART,2874900.00
SHEILA DENYSIUK LEGAL PROFESSIONAL,2769097.48
CHINN TERRANCE S,2723731.68
BDO CANADA,2694233.54
ISH CONSULTING,2508585.00
CASSELS BROCK LAWYERS,2498503.21
ARCADIS CANADA,2443463.67
CGI,2426881.97
BGC ENGINEERING,2398013.37
BLAIR ELLIOT TOTHILL DBA SOMATOS,2394127.65
PRICEWATERHOUSE COOPERS,2361585.41
STANTEC,2325005.82
KONICA MINOLTA BUSINESS EQUIPMENT,2266858.37
GOLDER ASSOCIATES,2067930.27
SASKATCHEWAN INDIAN INSTITUTE OF,2062205.48
ASAP REPORTING SERVICES,2049720.00
BLUE COLLAR SILVICULTURE,2040083.98
APPLIED ELECTONICS,1996413.80
COLLINS BARROW OTTAWA MANAGEMENT,1966168.11
SMITH RESEARCH,1965801.12
EXCEL HUMAN RESOURCES,1882663.95
DILLON CONSULTING,1877572.50
THE RIGHT DOOR CONSULTING,1875550.37
FARRIS VAUGHAN WILLS MURPHY,1837666.13
LAURIER RESEARCH GROUP,1801397.10
SIMNER,1692719.40
ROBERTSON GEOCONSULTANTS,1691738.66
MURRAY DONALD,1687887.86
ADR SYNERGY,1661593.90
BAXTER EVELYN,1661593.90
RESOLUTION HOUSE,1661593.90
KABIR RAVINDRA PROFESSIONAL,1661593.90
HENHEFFER MARIA G,1661593.90
COLLIERS PROJECT LEADERS,1658864.11
CASSELS BROCK BLACKWELL,1615930.61
RODGER W LINKA LEGAL PROFESSIONAL,1585662.86
DAWN MCBRIDE LEGAL PROF,1556494.53
CAROL ANN HART LAW,1556418.10
HAKASANA HOLDINGS,1556418.10
WILLIAM J CAMPBELL LAW OFFICE,1556418.10
LARRY GILBERT BARRISTER,1556418.10
HUGH MCCALL LAW,1556418.10
MCKALL BETH M,1556418.10
CLOUTIER PAUL,1556418.10
MCCALLUM MYRNA,1556418.10
VACHON LAW,1556418.10
GROUNDS RICHARD,1556418.10
BOLTON ANNE,1556418.10
MOSHER TERI,1556418.10
MCISAAC KATHLEEN B,1556418.10
SCOTT RITA,1556418.10
GLORIA MORGAN CONSULTING,1556418.10
CHERNIACK CHERNIACK LAW,1556418.10
RESOLVE ADR,1556418.10
ANNE WALLACE LEGAL PROFESSIONAL,1556418.10
ROBERGE YVON,1556418.10
VG BEISEL PROFESSIONAL,1556418.10
BALCHEN KULCHYCKI,1525329.83
HDP GROUP,1504195.89
CLAW ENVIRONMENTAL SERVICES,1500000.00
QMR,1496511.48
ADIRONDACK TECHNOLOGIES FURNITURE,1456637.94
SLR CONSULTING CANADA,1394206.61
NEEGAN BURNSIDE,1390287.23
CDCI RESEARCH,1374212.59
MAXSYS STAFFING AND CONSULTING,1364569.58
EBA ENGINEERING CONSULTANTS,1351633.50
EBSCO CANADA,1347909.41
FUJITSU,1346909.22
ASOKAN BUSINESS INTERIORS,1346085.17
TIREE,1332442.34
LINK ADVANTAGE RESEARCH,1318683.27
HAWORTH C O ASOKAN,1311262.01
ENNS RON,1244249.62
ALTIS HUMAN RESOURCES,1235433.65
FOX WISE TECHNOLOGIES,1198855.06
ESRI,1187747.87
ST LOUIS HUGUETTE,1167313.58
BOSSY JOSSY PRODUTIONS,1146314.77
SNC LAVALIN,1120377.02
TETRA TECH CANADA,1120337.11
EAGLE PROFESSIONAL RESOURCES,1119466.00
TURTLE TECHNOLOGIES,1083486.68
AMEC FOSTER WHEELER ENVIRONMENT,1079607.40
CALIAN,1075723.36
OUTCOME MERIT A JOINT VENTURE,1045387.48
XEROX,1041004.03
DEVEAU GAGNA LEFEBVRE TREMBLAY,1036394.64
DUTCHAK SID,1036113.14
IT SERVICES CANADA,1034774.99
WAMPUM RECORDS AND CANADIAN,1019619.93
ERNST YOUNG,1019109.26
OCONNOR PATRICIA,1017367.05
TETRA TECH,993394.08
VON GERNET DR ALEXANDER,963079.45
DPRA CANADA,956323.61
FRANZ ENVIRONMENTAL,951293.09
HISTORICE CONSULTANTS,947687.24
MCKERCHER BARRISTERS,933903.18
BMB DATA CONSULTING SERVICES,921984.73
TURTLES TECHNOLOGIES,908854.87
THEODORE BINNEMA RESEARCH,906045.00
FORREST GREEN RESOURCE MGT,904000.00
CLARK ADRIAN,900966.68
CH2MHILL CANADA,897869.70
DEVEAU GAGNE LEFEBVRE TREMBLAY,892315.00
ONCIDIUM AND BOWCURVE,881181.69
IRON MOUNTAIN CANADA OPERATIONS,878213.99
RV ANDERSON ASSOCIATES,866388.51
ABANDONRITE,859308.46
NAVIGANT ECONOMICS,839437.50
SPEARHEAD MANAGEMENT CANADA,804716.81
JOSEPH CYNTHIA MARIE,778209.05
GARTNER,771063.11
CHELL TODORUK RESEARCH CONSULTING,762795.30
SETASIDE SOLUTIONS 4336615 CANADA,753003.00
PHILLIPS STEVENS,749961.29
MCHUGH DR PAUL,745537.99
HEWITT AQUIPEMENT,742494.78
GERRY SHANNON AND ASSOCIATES,741197.13
AMEC AMERICAS AMEC,732932.26
DCJV4,705535.84
GREER KARLA,685225.25
LANNICK RECRUITMENT OTTAWA,674070.00
RM PATTERSON MANAGEMENT GROUP,666603.00
FISCAL REALITIES ECONOMISTS,651743.49
DIVESTCO,646983.14
SRK CONSULTING CANADA,634956.58
DROLET MARC,631823.03
ADIRONDACK INFORMATION MANAGEMENT,631369.75
GREY OAK CONSULTING,627781.19
NORAMTEC CONSULTING,625315.75
ERICA SMITH RESEARCH AND WRITING,622345.50
TEAM BI,617247.94
LUCID RESEARCH,617153.91
BKH SOLUTIONS CONSULTING,615383.00
GREAT SLAVE HELICOPTER,602890.01
MIRWALDT LORE MARIE,595672.49
VWR INTERNATIONAL,586043.63
INSTITUTE ON GOVERNANCE,572510.00
MORAN MAYO,571428.69
CDW CANADA,565560.08
MCCARTHY TETRAULT,563808.28
JR EICKMEIER CONSULTANTS,562256.13
MAPLESOFT CONSULTING,552376.65
MOBILE RESOURCE GROUP,552185.40
HAL LOVE REAL ESTATE ADV SERVICES,551934.89
LANE SIOBHAN,544986.75
FOREST COMMUNICATIONS,544838.38
PATERSON DAVID,539228.91
AIR TINDI,537732.37
PERCEPTIVE RESOURCES MANAGEMENT,534280.96
SKIMIKIN NURSERY,533170.83
SAP,530255.45
BELL BROWNE MOLNAR DELICATE,530243.88
STRATEGIES IN EXTENSO,527748.60
